date               ,open  ,high  ,low   ,close
2018-07-10 15:00:00,71.515,71.64 ,71.385,71.455
2018-07-10 16:00:00,71.455,71.455,71.305,71.31
2018-07-10 17:00:00,71.365,71.365,71.305,71.365
2018-07-10 18:00:00,71.385,71.45 ,71.345,71.355
2018-07-10 19:00:00,71.38 ,71.415,71.29 ,71.31
2018-07-10 20:00:00,71.31 ,71.31 ,71.31 ,71.31
2018-07-11 14:00:00,70.345,70.495,70.045,70.065
2018-07-11 15:00:00,70.06 ,70.085,69.66 ,69.8
2018-07-11 16:00:00,69.8  ,69.905,69.69 ,69.69
2018-07-11 17:00:00,69.69 ,69.69 ,69.32 ,69.32
2018-07-11 18:00:00,69.31 ,69.515,69.04 ,69.435
2018-07-11 19:00:00,69.435,69.475,69.17 ,69.255
2018-07-11 20:00:00,69.255,69.255,69.255,69.255
2018-07-12 14:00:00,69.825,69.91 ,69.615,69.755
2018-07-12 15:00:00,69.755,69.825,69.525,69.63
2018-07-12 16:00:00,69.69 ,69.73 ,69.505,69.56
2018-07-12 17:00:00,69.56 ,69.6  ,69.455,69.48
2018-07-12 18:00:00,69.48 ,69.555,69.345,69.45
2018-07-12 19:00:00,69.445,69.58 ,69.405,69.435
2018-07-12 20:00:00,69.435,69.435,69.435,69.435
2018-07-13 14:00:00,69.42 ,69.895,69.42 ,69.89
2018-07-13 15:00:00,69.88 ,69.955,69.8  ,69.865
2018-07-13 16:00:00,69.865,69.99 ,69.865,69.97
2018-07-13 17:00:00,69.97 ,70.08 ,69.855,70.08
2018-07-13 18:00:00,70.115,70.155,69.835,69.875
2018-07-13 19:00:00,69.905,70.01 ,69.88 ,70.0
2018-07-13 20:00:00,70.0  ,70.0  ,70.0  ,70.0
2018-07-16 14:00:00,68.78 ,68.83 ,68.46 ,68.46
2018-07-16 15:00:00,68.46 ,68.7  ,68.46 ,68.69
2018-07-16 16:00:00,68.69 ,68.81 ,68.575,68.805
2018-07-16 17:00:00,68.81 ,68.82 ,68.675,68.675
2018-07-16 18:00:00,68.66 ,68.91 ,68.66 ,68.91
2018-07-16 19:00:00,68.92 ,69.11 ,68.92 ,69.105
2018-07-16 20:00:00,69.105,69.105,69.105,69.105
2018-07-17 14:00:00,68.515,68.93 ,68.515,68.88
2018-07-17 15:00:00,68.9  ,68.975,68.77 ,68.81
2018-07-17 16:00:00,68.81 ,68.96 ,68.765,68.96
2018-07-17 17:00:00,68.96 ,69.12 ,68.91 ,69.11
2018-07-17 18:00:00,69.11 ,69.11 ,68.81 ,68.82
2018-07-17 19:00:00,68.82 ,68.83 ,68.765,68.775
2018-07-17 20:00:00,68.775,68.775,68.775,68.775
2018-07-18 14:00:00,68.1  ,68.62 ,68.07 ,68.62
2018-07-18 15:00:00,68.68 ,68.885,68.585,68.885
2018-07-18 16:00:00,68.885,69.07 ,68.885,68.905
2018-07-18 17:00:00,68.885,68.94 ,68.825,68.885
2018-07-18 18:00:00,68.885,68.995,68.805,68.98
2018-07-18 19:00:00,68.98 ,68.98 ,68.855,68.905
2018-07-18 20:00:00,68.905,68.905,68.905,68.905
2018-07-19 14:00:00,69.22 ,69.48 ,69.125,69.125
2018-07-19 15:00:00,69.09 ,69.16 ,68.93 ,68.98
2018-07-19 16:00:00,68.98 ,69.08 ,68.93 ,68.97
2018-07-19 17:00:00,68.97 ,69.29 ,68.96 ,69.26
2018-07-19 18:00:00,69.26 ,69.365,69.23 ,69.23
2018-07-19 19:00:00,69.23 ,69.26 ,69.145,69.18
2018-07-19 20:00:00,69.18 ,69.18 ,69.18 ,69.18
2018-07-20 14:00:00,69.805,69.805,69.34 ,69.47
2018-07-20 15:00:00,69.47 ,69.64 ,69.47 ,69.565
2018-07-20 16:00:00,69.565,69.585,69.47 ,69.585
2018-07-20 17:00:00,69.585,69.685,69.585,69.625
2018-07-20 18:00:00,69.63 ,69.695,69.575,69.575
2018-07-20 19:00:00,69.56 ,69.68 ,69.525,69.525
2018-07-20 20:00:00,69.525,69.525,69.525,69.525
2018-07-23 14:00:00,70.125,70.125,69.95 ,69.98
2018-07-23 15:00:00,69.98 ,69.98 ,69.605,69.8
2018-07-23 16:00:00,69.725,69.725,69.44 ,69.48
2018-07-23 17:00:00,69.48 ,69.57 ,69.47 ,69.47
2018-07-23 18:00:00,69.47 ,69.58 ,69.43 ,69.45
2018-07-23 19:00:00,69.45 ,69.45 ,69.38 ,69.415
2018-07-23 20:00:00,69.415,69.415,69.415,69.415
2018-07-24 14:00:00,70.04 ,70.59 ,70.04 ,70.54
2018-07-24 15:00:00,70.535,70.545,70.21 ,70.29
2018-07-24 16:00:00,70.29 ,70.29 ,70.165,70.195
2018-07-24 17:00:00,70.225,70.25 ,70.075,70.14
2018-07-24 18:00:00,70.14 ,70.14 ,70.025,70.08
2018-07-24 19:00:00,70.11 ,70.225,70.105,70.225
2018-07-24 20:00:00,70.225,70.225,70.225,70.225
2018-07-25 14:00:00,69.72 ,70.005,69.53 ,69.59
2018-07-25 15:00:00,69.59 ,70.09 ,69.585,70.09
2018-07-25 16:00:00,70.09 ,70.23 ,70.08 ,70.19
2018-07-25 17:00:00,70.19 ,70.23 ,70.06 ,70.21
2018-07-25 18:00:00,70.24 ,70.285,69.94 ,70.035
2018-07-25 19:00:00,70.035,70.46 ,69.985,70.305
2018-07-25 20:00:00,70.305,70.305,70.305,70.305
2018-07-26 14:00:00,67.62 ,67.685,67.365,67.445
2018-07-26 15:00:00,67.525,67.97 ,67.525,67.94
2018-07-26 16:00:00,67.94 ,68.04 ,67.88 ,67.89
2018-07-26 17:00:00,67.89 ,68.04 ,67.85 ,67.85
2018-07-26 18:00:00,67.82 ,67.86 ,67.76 ,67.86
2018-07-26 19:00:00,67.86 ,67.95 ,67.71 ,67.755
2018-07-26 20:00:00,67.755,67.755,67.755,67.755
2018-07-27 14:00:00,68.385,68.555,68.125,68.22
2018-07-27 15:00:00,68.25 ,68.55 ,68.25 ,68.525
2018-07-27 16:00:00,68.495,68.495,67.985,67.985
2018-07-27 17:00:00,67.98 ,68.1  ,67.955,68.045
2018-07-27 18:00:00,68.04 ,68.055,67.835,67.845
2018-07-27 19:00:00,67.865,68.05 ,67.865,68.02
2018-07-27 20:00:00,68.02 ,68.02 ,68.02 ,68.02
2018-07-30 14:00:00,68.285,68.37 ,68.19 ,68.37
2018-07-30 15:00:00,68.37 ,68.37 ,68.245,68.28
2018-07-30 16:00:00,68.28 ,68.305,68.22 ,68.29
2018-07-30 17:00:00,68.29 ,68.33 ,68.27 ,68.33
2018-07-30 18:00:00,68.33 ,68.405,68.25 ,68.25
2018-07-30 19:00:00,68.25 ,68.285,68.175,68.255
2018-07-30 20:00:00,68.255,68.255,68.255,68.255
2018-07-31 14:00:00,68.78 ,68.82 ,68.555,68.66
2018-07-31 15:00:00,68.64 ,68.875,68.605,68.835
2018-07-31 16:00:00,68.825,68.94 ,68.8  ,68.8
2018-07-31 17:00:00,68.8  ,68.8  ,68.66 ,68.68
2018-07-31 18:00:00,68.68 ,68.745,68.465,68.485
2018-07-31 19:00:00,68.485,68.485,68.315,68.385
2018-07-31 20:00:00,68.385,68.385,68.385,68.385
2018-08-01 14:00:00,67.46 ,67.605,67.415,67.58
2018-08-01 15:00:00,67.585,67.62 ,67.26 ,67.345
2018-08-01 16:00:00,67.34 ,67.43 ,67.29 ,67.43
2018-08-01 17:00:00,67.43 ,67.465,67.42 ,67.42
2018-08-01 18:00:00,67.42 ,67.575,67.37 ,67.575
2018-08-01 19:00:00,67.58 ,67.61 ,67.535,67.52
